"","POPULATION","CU_NAME","FULL_CU_IN","POP_ID","SPECIES_QUALIFIED","SPECIES","AREA","FAZ","MAZ","StreamOrder","QUALITY","weight","nYears","forestDD","trend1","trend2","trend3","trend4","trend5","region","spawnEco","rearEco","AgriculturePCT","UrbanPCT","RIPDSTPCT","Linear_Dev_noRoads","ForestRoadsDEN_km_km2","NonForestRoadsDEN_km_km2","STRMXDEN","FORDST_PCT","ECAPCT","MPB_pct","WATER_LIC","WWD_count"
"CK1207","Holliday Creek (Clearwater) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",1207,"CK","Chinook","29J","UFR","GStr",4,4,0.731058578630005,20,0,-0.0460003755307114,-0.0460003755307114,-0.0460003755307085,-0.0460003755307114,-0.0601343711441697,"Fraser","Chinook","ChinookStream",0.288161122,0.203231317,0,0,0,0.223885112,0.170934357,0.003431507,0.696874585,3.859196631,5,0
"CK131","Clemens Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",131,"CK","Chinook","23","WVI","WVI",4,4.29411764705882,0.731058578630005,17,0,0.027466202912987,0.0517152019812548,0.046663185156484,0.0517152019812548,0.0517152019812548,"SCVI","Chinook","ChinookOcean",0,0,10.48064168,0,0.08389102,1.160182389,0.131829769,16.19901944,11.80694266,0,1,0
"CK2178","Seton River (Lillooet) Chinook Run 1","MIDDLE FRASER RIVER_SU_1.3","CK-11",2178,"CK","Chinook","29F","MFR","GStr",9,4.2,0.119202922022118,29,0,-0.0936210614060803,-0.0933862644966489,-0.108651064325752,-0.147418164204872,-0.172758608585888,"Fraser","Chinook","ChinookStream",4.347790269,2.79943806,8.988891047,0,0,1.603567052,0.068997859,2.082674394,6.467893825,0.246275689,70,0
"CK2483","Swift River (Quesnel) Chinook Run 1","MIDDLE FRASER RIVER_SP_1.3","CK-10",2483,"CK","Chinook","29H","MFR","GStr",6,4,0.731058578630005,22,0,-0.0699988621884416,-0.0699988621884416,-0.0699988621884426,-0.0699988621884416,-0.0625655900344416,"Fraser","Chinook","ChinookStream",21.87520717,0.07613872,27.96924608,0.163490635,0.039458801,2.767558251,0.34792858,9.207617756,8.872721191,0.745560921,15,0
"CK2507","Taseko River (Williams Lake Area) Chinook Run 1","MIDDLE FRASER RIVER_SU_1.3","CK-11",2507,"CK","Chinook","29G","MFR","GStr",7,4,0.119202922022118,11,0,0.0266654523493271,0.0323197231315775,0.0362961435646675,0.0323197231315775,NA,"Fraser","Chinook","ChinookStream",0,0,75.04467356,0,0,0.815712105,0,20.08162367,21.47599167,0,0,0
"CK2762","West Twin Creek (Clearwater) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",2762,"CK","Chinook","29J","UFR","GStr",8,4.35,0.119202922022118,22,0,-0.0576330423820335,-0.0527383851810455,-0.0544793991593019,-0.0527383851810455,-0.0624012575607453,"Fraser","Chinook","ChinookStream",0,3.471049241,41.97949235,0.283892008,0.245864402,2.298322283,0.709104663,9.797861879,50.54768612,0.11019438,29,0
"CK3075","Ice Creek Chinook","UPPER FRASER RIVER_SP_1.3","CK-12",3075,"CK","Chinook","29I","UFR","GStr",5,4,0.731058578630005,17,0,-0.195132213787742,-0.195132213787742,-0.195132213787751,-0.195132213787742,-0.202546747552191,"Fraser","Chinook","ChinookStream",0,0,1.631566097,0,0,0.110621489,0,0.925908987,0.348083622,0,0,0
"CK3246","Dog Tag Creek Chinook","LOWER SKEENA","CK-48",3246,"CK","Chinook","4B","LSK","NSKEst",4,5,0.5,19,0,-0.0137189179179121,-0.0137189179179121,-0.0133939200189832,NA,NA,"Skeena","Chinook","ChinookStream",0,0,0,0,0,0,0,0,0,0,0,0
"CK3247","Fulton River Chinook","MIDDLE SKEENA-LARGE LAKES","CK-53",3247,"CK","Chinook","4D","MSK","NSKEst",6,3.375,0.952574126822433,10,0,-0.105549529319914,-0.106496845358879,-0.107370249647839,-0.106496845358879,NA,"Skeena","Chinook","ChinookStream",0,0.281277825,2.945626555,0.072522297,0.162548588,1.072150171,0.244396404,2.785260483,17.23630368,1.500092461,2,0
"CK3306","Somass System Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",3306,"CK","Chinook","23","WVI","WVI",6,1,0.982013790037908,23,1,0.00359565573381863,0.00362516980190027,0.00361653442122009,0.00362516980190027,-0.00148533285112561,"SCVI","Chinook","ChinookOcean",9.545920392,31.49294004,41.03744012,0.326200117,0,4.953143701,0.998864563,0.78488932,35.20025192,0,21,6
"CK3333","Nanaimo River Spring Chinook","EAST VANCOUVER ISLAND-NANAIMO_SP_1.x","CK-23",3333,"CK","Chinook","17","EVI","GStr",6,4.88888888888889,0.5,24,1,-0.0756934705221176,-0.0756934705221176,-0.0764103085954884,-0.0539660889091969,NA,"SCVI","Chinook","ChinookStream",0,0,5.253868635,0.047961999,0,3.282336832,0.670130274,0,6.391690917,0,3,0
"CK39608","Mercantile Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",39608,"CK","Chinook","23","WVI","WVI",3,5.25,0.119202922022118,18,0,0.108941646149602,0.111303591598304,0.0823235165616614,0.111303591598304,NA,"SCVI","Chinook","ChinookOcean",0,3.032232418,7.781534772,0.17952624,0.287760672,2.571551899,1.011404532,5.922496272,13.09039866,0,1,0
"CK39628","Chamiss Creek (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39628,"CK","Chinook","26","WVI","WVI",4,5,0.119202922022118,10,0,-0.0503780362290541,-0.0503780362290541,-0.0602165467339708,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.359063071,61.61508837,0,0.168603352,1.877333143,0.591817787,46.71992094,10.18601274,0,11,0
"CK39648","Mckay Cove Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39648,"CK","Chinook","26","WVI","WVI",4,7,0.119202922022118,15,0,-0.0608093015959571,-0.0608093015959571,-0.0608093015959561,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.359063071,61.61508837,0,0.168603352,1.877333143,0.591817787,46.71992094,10.18601274,0,11,0
"CK39668","Malksope River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39668,"CK","Chinook","26","WVI","WVI",4,4.08333333333333,0.119202922022118,35,0,-0.0270549485182126,-0.0262939245891622,-0.0177655368757803,0.0103096492478992,0.113864154021849,"SCVI","Chinook","ChinookOcean",0,0,66.33388935,0,0.10308384,2.574278856,0.558195802,57.97630493,11.51916005,0,0,0
