"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE"
1,442,"OKANAGAN RIVER","Stream","CK","49.076369878","-119.518180082","OK","ORWA","OK+ORWA","OKANAGAN_1.x","OK","49.076369878","-119.518180082","Current","1","CK-1",5,48442,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"310-000000-00000-00000-0000-0000-000-000-000-000-000-000","300-432687-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
1,677,"CAMPBELL RIVER","Stream","CO","49.013451541","-122.778358458","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.063246942","-122.78614373325","VREQ[Current]","1","CO-1",2,590,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-000500-00000-00000-0000-0000-000-000-000-000-000-000","900-000584-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
2,680,"MURRAY CREEK","Stream","CO","49.100291722","-122.643466965","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.063246942","-122.78614373325","VREQ[Current]","1","CO-1",2,1794,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-004300-66600-00000-0000-0000-000-000-000-000-000-000","900-004391-663129-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
3,678,"NICOMEKL RIVER","Stream","CO","49.05729658","-122.869818641","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.063246942","-122.78614373325","VREQ[Current]","1","CO-1",2,1844,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-004300-00000-00000-0000-0000-000-000-000-000-000-000","900-004391-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
4,681,"SERPENTINE RIVER","Stream","CO","49.081947925","-122.852930869","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.063246942","-122.78614373325","VREQ[Current]","1","CO-1",2,2172,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-005500-00000-00000-0000-0000-000-000-000-000-000-000","900-005473-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
1,1169,"BOB CREEK","Stream","PKE","49.499041903","-124.796110833","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51264,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"",""
2,813,"BREM RIVER","Stream","PKE","50.437023525","-124.666329459","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,50504,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-357900-00000-00000-0000-0000-000-000-000-000-000-000","900-358652-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
3,814,"BREM RIVER TRIBUTARY","Stream","PKE","50.439995034","-124.665880751","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,50514,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-357900-01700-00000-0000-0000-000-000-000-000-000-000","900-358652-020005-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
4,784,"BRITTAIN RIVER","Stream","PKE","49.999169849","-124.012706634","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48918,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-244600-00000-00000-0000-0000-000-000-000-000-000-000","900-247763-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
5,1155,"BROOKLYN CREEK","Stream","PKE","49.669508763","-124.912761409","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,53054,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-558600-00000-00000-0000-0000-000-000-000-000-000-000","920-565088-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
6,1141,"CAMPBELL RIVER","Stream","PKE","50.04298377","-125.260688152","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52914,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-627900-00000-00000-0000-0000-000-000-000-000-000-000","920-627155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
7,697,"CAPILANO RIVER","Stream","PKE","49.321134611","-123.141135133","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49871,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-071100-00000-00000-0000-0000-000-000-000-000-000-000","900-083503-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
