POP_ID,POPULATION,SYSTEM_SITE,GFE_TYPE,SPECIES_QUALIFIED,Y_LAT,X_LONGT,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_NAME,CU_ACRO,FULL_CU_IN,INCLUDE,COMMENTS
45092,Chilliwack Lake (Chilliwack) Early Summer Sockeye,CHILLIWACK LAKE,Lake,SEL,49.08279015,-121.4559459,LFR,GStr,LFR+GStr,CHILLIWACK-EARLY SUMMER TIMING,Chilliwack-ES,SEL-03-01,NO,Spawning locations are unknown due to deep spawning (estimates are based on carcass recovery expansions); only one known spawning site has been confirmed by ROV near outlet of unamed creek
45094,Nahatlatch Lake (Lillooet) Early Summer Sockeye,NAHATLATCH LAKE,Lake,SEL,50.00441549,-121.7213805,FRCany,GStr,FRCany+GStr,NAHATLATCH-EARLY SUMMER TIMING,Nahatlatch-ES,SEL-05-02,NO,Spawning locations are unknown due to deep spawning/glacial turbidity (estimates are based on carcass recovery expansions); only one known spawning site confirmed by ROV near outlet of unamed creek
45081,South End Chilko Lake (Williams Lake Area) Summer Sockeye,SOUTH END CHILKO LAKE,Lake Portion,SEL,51.10225386,-124.0318793,MFR,GStr,MFR+GStr,CHILKO-EARLY SUMMER TIMING,Chilko-ES,SEL-06-02,NO,Aggregate of multiple spawning sites; also enumerated in aggregate with Chilko River since 1990
45806,Francois Lake (Prince George) Summer Sockeye,FRANCOIS LAKE,Lake,SEL,54.00821315,-125.0080082,MFR,GStr,MFR+GStr,FRANCOIS/FRASER-SUMMER TIMING,Francois/Fraser-S,SEL-06-07,NO,Not persistant; spill over on high abundance years
3364,Bear Beach  (Quesnel Lake shore) Summer Sockeye,BEAR BEACH - LAKE SHORE,Lake Portion,SEL,52.72205643,-120.8599504,MFR,GStr,MFR+GStr,QUESNEL-SUMMER TIMING,Quesnel-S,SEL-06-10,NO,Not associated with a particular creek/watershed
3342,Big Slide  (Quesnel Lake shore) Summer Sockeye,BIG SLIDE - LAKE SHORE,Lake Portion,SEL,52.60429232,-120.4943988,MFR,GStr,MFR+GStr,QUESNEL-SUMMER TIMING,Quesnel-S,SEL-06-10,NO,Not associated with a particular creek/watershed
3344,Bill Miner Cr.  (Quesnel Lake shore) Summer Sockeye,BILL MINER CR. - LAKE SHORE,Lake Portion,SEL,52.58192397,-120.5569187,MFR,GStr,MFR+GStr,QUESNEL-SUMMER TIMING,Quesnel-S,SEL-06-10,YES,Cr in population name
3346,Blue Lead Cr.  (Quesnel Lake shore) Summer Sockeye,BLUE LEAD CR. - LAKE SHORE,Lake Portion,SEL,52.615223,-120.3815241,MFR,GStr,MFR+GStr,QUESNEL-SUMMER TIMING,Quesnel-S,SEL-06-10,YES,Cr in population name
3347,Bouldery Cr.  (Quesnel Lake shore) Summer Sockeye,BOULDERY CR. - LAKE SHORE,Lake Portion,SEL,52.51019936,-120.689054,MFR,GStr,MFR+GStr,QUESNEL-SUMMER TIMING,Quesnel-S,SEL-06-10,YES,Cr in population name
3366,Bowling Point (Quesnel Lake shore) Summer Sockeye,BOWLING POINT,Lake Portion,SEL,52.72205643,-120.8599504,MFR,GStr,MFR+GStr,QUESNEL-SUMMER TIMING,Quesnel-S,SEL-06-10,NO,Not associated with a particular creek/watershed
