cuid,use,cuname,gen_length,sr_code,trtc_cu,FULL_CU_IN,cuindex,culabel,CU,spp,species,watershed,X
308,ABUND,CK008-Middle Fraser-Fraser Canyon_SP_1.3,5,NA,CK-008,CK-8,8,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK,CK,NA,NA
303,ABUND,CK003-Lower Fraser River_FA_0.3,4,NA,CK-003,CK-3,3,CK003-Lower Fraser River_FA_0.3,CK003-Lower Fraser River_FA_0.3,CK,CK,NA,NA
307,ABUND,CK007-Maria Slough_SU_0.3,4,NA,CK-007,CK-7,7,CK007-Maria Slough_SU_0.3,CK007-Maria Slough_SU_0.3,CK,CK,NA,NA
304,ABUND,CK004-Lower Fraser River_SP_1.3,5,NA,CK-004,CK-4,4,CK004-Lower Fraser River_SP_1.3,CK004-Lower Fraser River_SP_1.3,CK,CK,NA,NA
306,ABUND,CK006-Lower Fraser River_SU_1.3,5,NA,CK-006,CK-6,6,CK006-Lower Fraser River_SU_1.3,CK006-Lower Fraser River_SU_1.3,CK,CK,NA,NA
305,ABUND,CK005-Lower Fraser River-Upper Pitt_SU_1.3,5,NA,CK-005,CK-5,5,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK,CK,NA,NA
317,ABUND,CK017-Lower Thompson_SP_1.2,4,NA,CK-017,CK-17,17,CK017-Lower Thompson_SP_1.2,CK017-Lower Thompson_SP_1.2,CK,CK,NA,NA
309,ABUND,CK009-Middle Fraser River-Portage_FA_1.3,5,NA,CK-009,CK-9,9,CK009-Middle Fraser River-Portage_FA_1.3,CK009-Middle Fraser River-Portage_FA_1.3,CK,CK,NA,NA
310,ABUND,CK010-Middle Fraser River_SP_1.3,5,NA,CK-010,CK-10,10,CK010-Middle Fraser River_SP_1.3,CK010-Middle Fraser River_SP_1.3,CK,CK,NA,NA
311,ABUND,CK011-Middle Fraser River_SU_1.3,5,NA,CK-011,CK-11,11,CK011-Middle Fraser River_SU_1.3,CK011-Middle Fraser River_SU_1.3,CK,CK,NA,NA
318,ABUND,CK018-North Thompson_SP_1.3,5,NA,CK-018,CK-18,18,CK018-North Thompson_SP_1.3,CK018-North Thompson_SP_1.3,CK,CK,NA,NA
319,ABUND,CK019-North Thompson_SU_1.3,5,NA,CK-019,CK-19,19,CK019-North Thompson_SU_1.3,CK019-North Thompson_SU_1.3,CK,CK,NA,NA
315,ABUND,CK015-Shuswap River_SU_0.3,4,NA,CK-015,CK-15,15,CK015-Shuswap River_SU_0.3,CK015-Shuswap River_SU_0.3,CK,CK,NA,NA
316,ABUND,CK016-South Thompson-Bessette Creek_SU_1.2,4,NA,CK-016,CK-16,16,CK016-South Thompson-Bessette Creek_SU_1.2,CK016-South Thompson-Bessette Creek_SU_1.2,CK,CK,NA,NA
