"","year","species","odd_even","total.systems","no.counted","prop.counted"
"1",1950,"Pink","O",1148,316,0.275261324041812
"2",1951,"Pink","E",1148,287,0.25
"3",1952,"Pink","O",1148,318,0.277003484320557
"4",1953,"Pink","E",1148,364,0.317073170731707
"5",1954,"Pink","O",1148,431,0.375435540069686
"6",1955,"Pink","E",1148,366,0.318815331010453
"7",1956,"Pink","O",1148,445,0.387630662020906
"8",1957,"Pink","E",1148,368,0.320557491289199
"9",1958,"Pink","O",1148,441,0.384146341463415
"10",1959,"Pink","E",1148,402,0.350174216027875
"11",1960,"Pink","O",1148,412,0.358885017421603
"12",1961,"Pink","E",1148,390,0.339721254355401
"13",1962,"Pink","O",1148,445,0.387630662020906
"14",1963,"Pink","E",1148,396,0.344947735191638
"15",1964,"Pink","O",1148,421,0.366724738675958
"16",1965,"Pink","E",1148,357,0.310975609756098
"17",1966,"Pink","O",1148,443,0.38588850174216
"18",1967,"Pink","E",1148,325,0.283101045296167
"19",1968,"Pink","O",1148,479,0.417247386759582
"20",1969,"Pink","E",1148,300,0.261324041811847
"21",1970,"Pink","O",1148,444,0.386759581881533
"22",1971,"Pink","E",1148,350,0.304878048780488
"23",1972,"Pink","O",1148,473,0.412020905923345
"24",1973,"Pink","E",1148,352,0.306620209059233
"25",1974,"Pink","O",1148,441,0.384146341463415
"26",1975,"Pink","E",1148,384,0.334494773519164
"27",1976,"Pink","O",1148,465,0.405052264808362
"28",1977,"Pink","E",1148,390,0.339721254355401
"29",1978,"Pink","O",1148,493,0.429442508710801
"30",1979,"Pink","E",1148,410,0.357142857142857
"31",1980,"Pink","O",1148,478,0.416376306620209
"32",1981,"Pink","E",1148,441,0.384146341463415
"33",1982,"Pink","O",1148,460,0.400696864111498
"34",1983,"Pink","E",1148,506,0.440766550522648
"35",1984,"Pink","O",1148,458,0.398954703832753
"36",1985,"Pink","E",1148,548,0.477351916376307
"37",1986,"Pink","O",1148,545,0.474738675958188
"38",1987,"Pink","E",1148,496,0.43205574912892
"39",1988,"Pink","O",1148,516,0.449477351916376
"40",1989,"Pink","E",1148,475,0.413763066202091
"41",1990,"Pink","O",1148,543,0.472996515679443
"42",1991,"Pink","E",1148,485,0.422473867595819
"43",1992,"Pink","O",1148,473,0.412020905923345
"44",1993,"Pink","E",1148,372,0.32404181184669
"45",1994,"Pink","O",1148,398,0.346689895470383
"46",1995,"Pink","E",1148,294,0.25609756097561
"47",1996,"Pink","O",1148,467,0.406794425087108
"48",1997,"Pink","E",1148,298,0.259581881533101
"49",1998,"Pink","O",1148,397,0.34581881533101
"50",1999,"Pink","E",1148,275,0.239547038327526
"51",2000,"Pink","O",1148,359,0.312717770034843
"52",2001,"Pink","E",1148,297,0.258710801393728
"53",2002,"Pink","O",1148,345,0.300522648083624
"54",2003,"Pink","E",1148,234,0.20383275261324
"55",2004,"Pink","O",1148,259,0.225609756097561
"56",2005,"Pink","E",1148,227,0.197735191637631
"57",2006,"Pink","O",1148,221,0.192508710801394
"58",2007,"Pink","E",1148,225,0.195993031358885
"59",2008,"Pink","O",1148,224,0.195121951219512
"60",2009,"Pink","E",1148,271,0.236062717770035
"61",2010,"Pink","O",1148,254,0.221254355400697
"62",2011,"Pink","E",1148,203,0.176829268292683
"63",2012,"Pink","O",1148,281,0.244773519163763
"64",2013,"Pink","E",1148,245,0.213414634146341
"65",2014,"Pink","O",1148,209,0.18205574912892
"66",2015,"Pink","E",1148,171,0.148954703832753
"67",2016,"Pink","O",1148,201,0.175087108013937
"68",2017,"Pink","E",1148,183,0.159407665505226
"69",2018,"Pink","O",1148,195,0.1698606271777
"70",2019,"Pink","E",1148,185,0.161149825783972
"71",2020,"Pink","O",1148,221,0.192508710801394
"72",2021,"Pink","E",1148,206,0.179442508710801
"73",1950,"Chum",NA,1357,332,0.244657332350774
"74",1951,"Chum",NA,1357,346,0.254974207811349
"75",1952,"Chum",NA,1357,274,0.201915991156964
"76",1953,"Chum",NA,1357,695,0.512159174649963
"77",1954,"Chum",NA,1357,712,0.524686809137804
"78",1955,"Chum",NA,1357,688,0.507000736919676
"79",1956,"Chum",NA,1357,698,0.514369933677229
"80",1957,"Chum",NA,1357,690,0.508474576271186
"81",1958,"Chum",NA,1357,727,0.535740604274134
"82",1959,"Chum",NA,1357,636,0.468680913780398
"83",1960,"Chum",NA,1357,656,0.483419307295505
"84",1961,"Chum",NA,1357,676,0.498157700810612
"85",1962,"Chum",NA,1357,675,0.497420781134856
"86",1963,"Chum",NA,1357,668,0.492262343404569
"87",1964,"Chum",NA,1357,701,0.516580692704495
"88",1965,"Chum",NA,1357,624,0.459837877671334
"89",1966,"Chum",NA,1357,672,0.49521002210759
"90",1967,"Chum",NA,1357,669,0.492999263080324
"91",1968,"Chum",NA,1357,685,0.50478997789241
"92",1969,"Chum",NA,1357,678,0.499631540162122
"93",1970,"Chum",NA,1357,687,0.50626381724392
"94",1971,"Chum",NA,1357,664,0.489314664701548
"95",1972,"Chum",NA,1357,700,0.51584377302874
"96",1973,"Chum",NA,1357,715,0.52689756816507
"97",1974,"Chum",NA,1357,677,0.498894620486367
"98",1975,"Chum",NA,1357,648,0.477523949889462
"99",1976,"Chum",NA,1357,656,0.483419307295505
"100",1977,"Chum",NA,1357,702,0.517317612380251
"101",1978,"Chum",NA,1357,705,0.519528371407517
"102",1979,"Chum",NA,1357,698,0.514369933677229
"103",1980,"Chum",NA,1357,683,0.503316138540899
"104",1981,"Chum",NA,1357,685,0.50478997789241
"105",1982,"Chum",NA,1357,689,0.507737656595431
"106",1983,"Chum",NA,1357,678,0.499631540162122
"107",1984,"Chum",NA,1357,702,0.517317612380251
"108",1985,"Chum",NA,1357,821,0.605011053795136
"109",1986,"Chum",NA,1357,792,0.583640383198231
"110",1987,"Chum",NA,1357,736,0.542372881355932
"111",1988,"Chum",NA,1357,741,0.546057479734709
"112",1989,"Chum",NA,1357,724,0.533529845246868
"113",1990,"Chum",NA,1357,694,0.511422254974208
"114",1991,"Chum",NA,1357,706,0.520265291083272
"115",1992,"Chum",NA,1357,678,0.499631540162122
"116",1993,"Chum",NA,1357,703,0.518054532056006
"117",1994,"Chum",NA,1357,593,0.436993367722918
"118",1995,"Chum",NA,1357,587,0.432571849668386
"119",1996,"Chum",NA,1357,658,0.484893146647015
"120",1997,"Chum",NA,1357,568,0.418570375829035
"121",1998,"Chum",NA,1357,614,0.45246868091378
"122",1999,"Chum",NA,1357,468,0.3448784082535
"123",2000,"Chum",NA,1357,440,0.324244657332351
"124",2001,"Chum",NA,1357,480,0.353721444362564
"125",2002,"Chum",NA,1357,507,0.373618275607959
"126",2003,"Chum",NA,1357,422,0.310980103168755
"127",2004,"Chum",NA,1357,389,0.286661753868828
"128",2005,"Chum",NA,1357,368,0.271186440677966
"129",2006,"Chum",NA,1357,356,0.262343404568902
"130",2007,"Chum",NA,1357,330,0.243183492999263
"131",2008,"Chum",NA,1357,305,0.22476050110538
