"","year","species","odd_even","total.systems","no.counted","prop.counted"
"1",1950,"Pink","O",0,0,NA
"2",1951,"Pink","E",0,0,NA
"3",1952,"Pink","O",0,0,NA
"4",1953,"Pink","E",0,0,NA
"5",1954,"Pink","O",0,0,NA
"6",1955,"Pink","E",0,0,NA
"7",1956,"Pink","O",0,0,NA
"8",1957,"Pink","E",0,0,NA
"9",1958,"Pink","O",0,0,NA
"10",1959,"Pink","E",0,0,NA
"11",1960,"Pink","O",0,0,NA
"12",1961,"Pink","E",0,0,NA
"13",1962,"Pink","O",0,0,NA
"14",1963,"Pink","E",0,0,NA
"15",1964,"Pink","O",0,0,NA
"16",1965,"Pink","E",0,0,NA
"17",1966,"Pink","O",0,0,NA
"18",1967,"Pink","E",0,0,NA
"19",1968,"Pink","O",0,0,NA
"20",1969,"Pink","E",0,0,NA
"21",1970,"Pink","O",0,0,NA
"22",1971,"Pink","E",0,0,NA
"23",1972,"Pink","O",0,0,NA
"24",1973,"Pink","E",0,0,NA
"25",1974,"Pink","O",0,0,NA
"26",1975,"Pink","E",0,0,NA
"27",1976,"Pink","O",0,0,NA
"28",1977,"Pink","E",0,0,NA
"29",1978,"Pink","O",0,0,NA
"30",1979,"Pink","E",0,0,NA
"31",1980,"Pink","O",0,0,NA
"32",1981,"Pink","E",0,0,NA
"33",1982,"Pink","O",0,0,NA
"34",1983,"Pink","E",0,0,NA
"35",1984,"Pink","O",0,0,NA
"36",1985,"Pink","E",0,0,NA
"37",1986,"Pink","O",0,0,NA
"38",1987,"Pink","E",0,0,NA
"39",1988,"Pink","O",0,0,NA
"40",1989,"Pink","E",0,0,NA
"41",1990,"Pink","O",0,0,NA
"42",1991,"Pink","E",0,0,NA
"43",1992,"Pink","O",0,0,NA
"44",1993,"Pink","E",0,0,NA
"45",1994,"Pink","O",0,0,NA
"46",1995,"Pink","E",0,0,NA
"47",1996,"Pink","O",0,0,NA
"48",1997,"Pink","E",0,0,NA
"49",1998,"Pink","O",0,0,NA
"50",1999,"Pink","E",0,0,NA
"51",2000,"Pink","O",0,0,NA
"52",2001,"Pink","E",0,0,NA
"53",2002,"Pink","O",0,0,NA
"54",2003,"Pink","E",0,0,NA
"55",2004,"Pink","O",0,0,NA
"56",2005,"Pink","E",0,0,NA
"57",2006,"Pink","O",0,0,NA
"58",2007,"Pink","E",0,0,NA
"59",2008,"Pink","O",0,0,NA
"60",2009,"Pink","E",0,0,NA
"61",2010,"Pink","O",0,0,NA
"62",2011,"Pink","E",0,0,NA
"63",2012,"Pink","O",0,0,NA
"64",2013,"Pink","E",0,0,NA
"65",2014,"Pink","O",0,0,NA
"66",2015,"Pink","E",0,0,NA
"67",2016,"Pink","O",0,0,NA
"68",2017,"Pink","E",0,0,NA
"69",2018,"Pink","O",0,0,NA
"70",2019,"Pink","E",0,0,NA
"71",2020,"Pink","O",0,0,NA
"72",2021,"Pink","E",0,0,NA
"73",1950,"Chum",NA,0,0,NA
"74",1951,"Chum",NA,0,0,NA
"75",1952,"Chum",NA,0,0,NA
"76",1953,"Chum",NA,0,0,NA
"77",1954,"Chum",NA,0,0,NA
"78",1955,"Chum",NA,0,0,NA
"79",1956,"Chum",NA,0,0,NA
"80",1957,"Chum",NA,0,0,NA
"81",1958,"Chum",NA,0,0,NA
"82",1959,"Chum",NA,0,0,NA
"83",1960,"Chum",NA,0,0,NA
"84",1961,"Chum",NA,0,0,NA
"85",1962,"Chum",NA,0,0,NA
"86",1963,"Chum",NA,0,0,NA
"87",1964,"Chum",NA,0,0,NA
"88",1965,"Chum",NA,0,0,NA
"89",1966,"Chum",NA,0,0,NA
"90",1967,"Chum",NA,0,0,NA
"91",1968,"Chum",NA,0,0,NA
"92",1969,"Chum",NA,0,0,NA
"93",1970,"Chum",NA,0,0,NA
"94",1971,"Chum",NA,0,0,NA
"95",1972,"Chum",NA,0,0,NA
"96",1973,"Chum",NA,0,0,NA
"97",1974,"Chum",NA,0,0,NA
"98",1975,"Chum",NA,0,0,NA
"99",1976,"Chum",NA,0,0,NA
"100",1977,"Chum",NA,0,0,NA
"101",1978,"Chum",NA,0,0,NA
"102",1979,"Chum",NA,0,0,NA
"103",1980,"Chum",NA,0,0,NA
"104",1981,"Chum",NA,0,0,NA
"105",1982,"Chum",NA,0,0,NA
"106",1983,"Chum",NA,0,0,NA
"107",1984,"Chum",NA,0,0,NA
"108",1985,"Chum",NA,0,0,NA
"109",1986,"Chum",NA,0,0,NA
"110",1987,"Chum",NA,0,0,NA
"111",1988,"Chum",NA,0,0,NA
"112",1989,"Chum",NA,0,0,NA
"113",1990,"Chum",NA,0,0,NA
"114",1991,"Chum",NA,0,0,NA
"115",1992,"Chum",NA,0,0,NA
"116",1993,"Chum",NA,0,0,NA
"117",1994,"Chum",NA,0,0,NA
"118",1995,"Chum",NA,0,0,NA
"119",1996,"Chum",NA,0,0,NA
"120",1997,"Chum",NA,0,0,NA
"121",1998,"Chum",NA,0,0,NA
"122",1999,"Chum",NA,0,0,NA
"123",2000,"Chum",NA,0,0,NA
"124",2001,"Chum",NA,0,0,NA
"125",2002,"Chum",NA,0,0,NA
"126",2003,"Chum",NA,0,0,NA
"127",2004,"Chum",NA,0,0,NA
"128",2005,"Chum",NA,0,0,NA
"129",2006,"Chum",NA,0,0,NA
"130",2007,"Chum",NA,0,0,NA
"131",2008,"Chum",NA,0,0,NA
"132",2009,"Chum",NA,0,0,NA
"133",2010,"Chum",NA,0,0,NA
"134",2011,"Chum",NA,0,0,NA
"135",2012,"Chum",NA,0,0,NA
"136",2013,"Chum",NA,0,0,NA
"137",2014,"Chum",NA,0,0,NA
"138",2015,"Chum",NA,0,0,NA
"139",2016,"Chum",NA,0,0,NA
"140",2017,"Chum",NA,0,0,NA
"141",2018,"Chum",NA,0,0,NA
"142",2019,"Chum",NA,0,0,NA
"143",2020,"Chum",NA,0,0,NA
"144",2021,"Chum",NA,0,0,NA
"145",1950,"Coho",NA,0,0,NA
"146",1951,"Coho",NA,0,0,NA
"147",1952,"Coho",NA,0,0,NA
"148",1953,"Coho",NA,0,0,NA
"149",1954,"Coho",NA,0,0,NA
"150",1955,"Coho",NA,0,0,NA
"151",1956,"Coho",NA,0,0,NA
"152",1957,"Coho",NA,0,0,NA
"153",1958,"Coho",NA,0,0,NA
"154",1959,"Coho",NA,0,0,NA
"155",1960,"Coho",NA,0,0,NA
"156",1961,"Coho",NA,0,0,NA
"157",1962,"Coho",NA,0,0,NA
"158",1963,"Coho",NA,0,0,NA
"159",1964,"Coho",NA,0,0,NA
"160",1965,"Coho",NA,0,0,NA
"161",1966,"Coho",NA,0,0,NA
"162",1967,"Coho",NA,0,0,NA
"163",1968,"Coho",NA,0,0,NA
"164",1969,"Coho",NA,0,0,NA
"165",1970,"Coho",NA,0,0,NA
"166",1971,"Coho",NA,0,0,NA
"167",1972,"Coho",NA,0,0,NA
"168",1973,"Coho",NA,0,0,NA
"169",1974,"Coho",NA,0,0,NA
"170",1975,"Coho",NA,0,0,NA
"171",1976,"Coho",NA,0,0,NA
"172",1977,"Coho",NA,0,0,NA
"173",1978,"Coho",NA,0,0,NA
"174",1979,"Coho",NA,0,0,NA
"175",1980,"Coho",NA,0,0,NA
"176",1981,"Coho",NA,0,0,NA
"177",1982,"Coho",NA,0,0,NA
"178",1983,"Coho",NA,0,0,NA
"179",1984,"Coho",NA,0,0,NA
"180",1985,"Coho",NA,0,0,NA
"181",1986,"Coho",NA,0,0,NA
"182",1987,"Coho",NA,0,0,NA
"183",1988,"Coho",NA,0,0,NA
"184",1989,"Coho",NA,0,0,NA
"185",1990,"Coho",NA,0,0,NA
"186",1991,"Coho",NA,0,0,NA
"187",1992,"Coho",NA,0,0,NA
"188",1993,"Coho",NA,0,0,NA
"189",1994,"Coho",NA,0,0,NA
"190",1995,"Coho",NA,0,0,NA
"191",1996,"Coho",NA,0,0,NA
"192",1997,"Coho",NA,0,0,NA
"193",1998,"Coho",NA,0,0,NA
"194",1999,"Coho",NA,0,0,NA
"195",2000,"Coho",NA,0,0,NA
"196",2001,"Coho",NA,0,0,NA
"197",2002,"Coho",NA,0,0,NA
"198",2003,"Coho",NA,0,0,NA
"199",2004,"Coho",NA,0,0,NA
"200",2005,"Coho",NA,0,0,NA
"201",2006,"Coho",NA,0,0,NA
"202",2007,"Coho",NA,0,0,NA
"203",2008,"Coho",NA,0,0,NA
"204",2009,"Coho",NA,0,0,NA
"205",2010,"Coho",NA,0,0,NA
"206",2011,"Coho",NA,0,0,NA
"207",2012,"Coho",NA,0,0,NA
"208",2013,"Coho",NA,0,0,NA
"209",2014,"Coho",NA,0,0,NA
"210",2015,"Coho",NA,0,0,NA
"211",2016,"Coho",NA,0,0,NA
"212",2017,"Coho",NA,0,0,NA
"213",2018,"Coho",NA,0,0,NA
"214",2019,"Coho",NA,0,0,NA
"215",2020,"Coho",NA,0,0,NA
"216",2021,"Coho",NA,0,0,NA
"217",1950,"Chinook",NA,1,0,0
"218",1951,"Chinook",NA,1,0,0
"219",1952,"Chinook",NA,1,0,0
"220",1953,"Chinook",NA,1,0,0
"221",1954,"Chinook",NA,1,0,0
"222",1955,"Chinook",NA,1,0,0
"223",1956,"Chinook",NA,1,0,0
"224",1957,"Chinook",NA,1,0,0
"225",1958,"Chinook",NA,1,0,0
"226",1959,"Chinook",NA,1,0,0
"227",1960,"Chinook",NA,1,0,0
"228",1961,"Chinook",NA,1,0,0
"229",1962,"Chinook",NA,1,0,0
"230",1963,"Chinook",NA,1,0,0
"231",1964,"Chinook",NA,1,0,0
"232",1965,"Chinook",NA,1,0,0
"233",1966,"Chinook",NA,1,0,0
"234",1967,"Chinook",NA,1,0,0
"235",1968,"Chinook",NA,1,0,0
"236",1969,"Chinook",NA,1,0,0
"237",1970,"Chinook",NA,1,0,0
"238",1971,"Chinook",NA,1,0,0
"239",1972,"Chinook",NA,1,0,0
"240",1973,"Chinook",NA,1,0,0
"241",1974,"Chinook",NA,1,0,0
"242",1975,"Chinook",NA,1,0,0
"243",1976,"Chinook",NA,1,0,0
"244",1977,"Chinook",NA,1,0,0
"245",1978,"Chinook",NA,1,0,0
"246",1979,"Chinook",NA,1,0,0
