"","year","species","odd_even","total.systems","no.counted","prop.counted"
"1",1955,"Pink","O",1148,366,0.318815331010453
"2",1956,"Pink","E",1148,445,0.387630662020906
"3",1957,"Pink","O",1148,368,0.320557491289199
"4",1958,"Pink","E",1148,441,0.384146341463415
"5",1959,"Pink","O",1148,402,0.350174216027875
"6",1960,"Pink","E",1148,412,0.358885017421603
"7",1961,"Pink","O",1148,390,0.339721254355401
"8",1962,"Pink","E",1148,445,0.387630662020906
"9",1963,"Pink","O",1148,396,0.344947735191638
"10",1964,"Pink","E",1148,421,0.366724738675958
"11",1965,"Pink","O",1148,357,0.310975609756098
"12",1966,"Pink","E",1148,443,0.38588850174216
"13",1967,"Pink","O",1148,325,0.283101045296167
"14",1968,"Pink","E",1148,479,0.417247386759582
"15",1969,"Pink","O",1148,300,0.261324041811847
"16",1970,"Pink","E",1148,444,0.386759581881533
"17",1971,"Pink","O",1148,350,0.304878048780488
"18",1972,"Pink","E",1148,473,0.412020905923345
"19",1973,"Pink","O",1148,352,0.306620209059233
"20",1974,"Pink","E",1148,441,0.384146341463415
"21",1975,"Pink","O",1148,384,0.334494773519164
"22",1976,"Pink","E",1148,465,0.405052264808362
"23",1977,"Pink","O",1148,390,0.339721254355401
"24",1978,"Pink","E",1148,493,0.429442508710801
"25",1979,"Pink","O",1148,410,0.357142857142857
"26",1980,"Pink","E",1148,478,0.416376306620209
"27",1981,"Pink","O",1148,441,0.384146341463415
"28",1982,"Pink","E",1148,460,0.400696864111498
"29",1983,"Pink","O",1148,506,0.440766550522648
"30",1984,"Pink","E",1148,458,0.398954703832753
"31",1985,"Pink","O",1148,548,0.477351916376307
"32",1986,"Pink","E",1148,545,0.474738675958188
"33",1987,"Pink","O",1148,496,0.43205574912892
"34",1988,"Pink","E",1148,516,0.449477351916376
"35",1989,"Pink","O",1148,475,0.413763066202091
"36",1990,"Pink","E",1148,543,0.472996515679443
"37",1991,"Pink","O",1148,485,0.422473867595819
"38",1992,"Pink","E",1148,473,0.412020905923345
"39",1993,"Pink","O",1148,372,0.32404181184669
"40",1994,"Pink","E",1148,398,0.346689895470383
"41",1995,"Pink","O",1148,294,0.25609756097561
"42",1996,"Pink","E",1148,467,0.406794425087108
"43",1997,"Pink","O",1148,298,0.259581881533101
"44",1998,"Pink","E",1148,397,0.34581881533101
"45",1999,"Pink","O",1148,275,0.239547038327526
"46",2000,"Pink","E",1148,359,0.312717770034843
"47",2001,"Pink","O",1148,297,0.258710801393728
"48",2002,"Pink","E",1148,345,0.300522648083624
"49",2003,"Pink","O",1148,234,0.20383275261324
"50",2004,"Pink","E",1148,259,0.225609756097561
"51",2005,"Pink","O",1148,227,0.197735191637631
"52",2006,"Pink","E",1148,221,0.192508710801394
"53",2007,"Pink","O",1148,225,0.195993031358885
"54",2008,"Pink","E",1148,224,0.195121951219512
"55",2009,"Pink","O",1148,271,0.236062717770035
"56",2010,"Pink","E",1148,254,0.221254355400697
"57",2011,"Pink","O",1148,203,0.176829268292683
"58",2012,"Pink","E",1148,281,0.244773519163763
"59",2013,"Pink","O",1148,245,0.213414634146341
"60",2014,"Pink","E",1148,209,0.18205574912892
"61",2015,"Pink","O",1148,171,0.148954703832753
"62",2016,"Pink","E",1148,201,0.175087108013937
"63",2017,"Pink","O",1148,183,0.159407665505226
"64",2018,"Pink","E",1148,195,0.1698606271777
"65",2019,"Pink","O",1148,185,0.161149825783972
"66",1955,"Chum",NA,1357,688,0.507000736919676
"67",1956,"Chum",NA,1357,698,0.514369933677229
"68",1957,"Chum",NA,1357,690,0.508474576271186
"69",1958,"Chum",NA,1357,727,0.535740604274134
"70",1959,"Chum",NA,1357,636,0.468680913780398
"71",1960,"Chum",NA,1357,656,0.483419307295505
"72",1961,"Chum",NA,1357,676,0.498157700810612
"73",1962,"Chum",NA,1357,675,0.497420781134856
"74",1963,"Chum",NA,1357,668,0.492262343404569
"75",1964,"Chum",NA,1357,701,0.516580692704495
"76",1965,"Chum",NA,1357,624,0.459837877671334
"77",1966,"Chum",NA,1357,672,0.49521002210759
"78",1967,"Chum",NA,1357,669,0.492999263080324
"79",1968,"Chum",NA,1357,685,0.50478997789241
"80",1969,"Chum",NA,1357,678,0.499631540162122
"81",1970,"Chum",NA,1357,687,0.50626381724392
"82",1971,"Chum",NA,1357,664,0.489314664701548
"83",1972,"Chum",NA,1357,700,0.51584377302874
"84",1973,"Chum",NA,1357,715,0.52689756816507
"85",1974,"Chum",NA,1357,677,0.498894620486367
"86",1975,"Chum",NA,1357,648,0.477523949889462
"87",1976,"Chum",NA,1357,656,0.483419307295505
"88",1977,"Chum",NA,1357,702,0.517317612380251
"89",1978,"Chum",NA,1357,705,0.519528371407517
"90",1979,"Chum",NA,1357,698,0.514369933677229
"91",1980,"Chum",NA,1357,683,0.503316138540899
"92",1981,"Chum",NA,1357,685,0.50478997789241
"93",1982,"Chum",NA,1357,689,0.507737656595431
"94",1983,"Chum",NA,1357,678,0.499631540162122
"95",1984,"Chum",NA,1357,702,0.517317612380251
"96",1985,"Chum",NA,1357,821,0.605011053795136
"97",1986,"Chum",NA,1357,792,0.583640383198231
"98",1987,"Chum",NA,1357,736,0.542372881355932
"99",1988,"Chum",NA,1357,741,0.546057479734709
"100",1989,"Chum",NA,1357,724,0.533529845246868
"101",1990,"Chum",NA,1357,694,0.511422254974208
"102",1991,"Chum",NA,1357,706,0.520265291083272
"103",1992,"Chum",NA,1357,678,0.499631540162122
"104",1993,"Chum",NA,1357,703,0.518054532056006
"105",1994,"Chum",NA,1357,593,0.436993367722918
"106",1995,"Chum",NA,1357,587,0.432571849668386
"107",1996,"Chum",NA,1357,658,0.484893146647015
"108",1997,"Chum",NA,1357,568,0.418570375829035
"109",1998,"Chum",NA,1357,614,0.45246868091378
"110",1999,"Chum",NA,1357,468,0.3448784082535
"111",2000,"Chum",NA,1357,440,0.324244657332351
"112",2001,"Chum",NA,1357,480,0.353721444362564
"113",2002,"Chum",NA,1357,507,0.373618275607959
"114",2003,"Chum",NA,1357,422,0.310980103168755
"115",2004,"Chum",NA,1357,389,0.286661753868828
"116",2005,"Chum",NA,1357,368,0.271186440677966
"117",2006,"Chum",NA,1357,356,0.262343404568902
"118",2007,"Chum",NA,1357,330,0.243183492999263
"119",2008,"Chum",NA,1357,305,0.22476050110538
"120",2009,"Chum",NA,1357,406,0.299189388356669
"121",2010,"Chum",NA,1357,344,0.253500368459838
"122",2011,"Chum",NA,1357,345,0.254237288135593
"123",2012,"Chum",NA,1357,375,0.276344878408254
"124",2013,"Chum",NA,1357,344,0.253500368459838
"125",2014,"Chum",NA,1357,293,0.215917464996315
"126",2015,"Chum",NA,1357,326,0.240235814296242
"127",2016,"Chum",NA,1357,336,0.247605011053795
"128",2017,"Chum",NA,1357,287,0.211495946941783
"129",2018,"Chum",NA,1357,327,0.240972733971997
"130",2019,"Chum",NA,1357,335,0.24686809137804
"131",1955,"Coho",NA,1632,638,0.39093137254902
"132",1956,"Coho",NA,1632,650,0.39828431372549
"133",1957,"Coho",NA,1632,622,0.381127450980392
"134",1958,"Coho",NA,1632,652,0.399509803921569
"135",1959,"Coho",NA,1632,614,0.376225490196078
"136",1960,"Coho",NA,1632,590,0.361519607843137
"137",1961,"Coho",NA,1632,631,0.386642156862745
"138",1962,"Coho",NA,1632,622,0.381127450980392
"139",1963,"Coho",NA,1632,616,0.377450980392157
"140",1964,"Coho",NA,1632,657,0.402573529411765
"141",1965,"Coho",NA,1632,657,0.402573529411765
"142",1966,"Coho",NA,1632,668,0.409313725490196
"143",1967,"Coho",NA,1632,656,0.401960784313726
"144",1968,"Coho",NA,1632,696,0.426470588235294
"145",1969,"Coho",NA,1632,660,0.404411764705882
"146",1970,"Coho",NA,1632,664,0.406862745098039
"147",1971,"Coho",NA,1632,638,0.39093137254902
"148",1972,"Coho",NA,1632,630,0.386029411764706
"149",1973,"Coho",NA,1632,621,0.380514705882353
"150",1974,"Coho",NA,1632,633,0.387867647058824
"151",1975,"Coho",NA,1632,659,0.403799019607843
"152",1976,"Coho",NA,1632,656,0.401960784313726
"153",1977,"Coho",NA,1632,713,0.436887254901961
"154",1978,"Coho",NA,1632,702,0.430147058823529
"155",1979,"Coho",NA,1632,711,0.435661764705882
"156",1980,"Coho",NA,1632,658,0.403186274509804
"157",1981,"Coho",NA,1632,647,0.396446078431373
"158",1982,"Coho",NA,1632,640,0.392156862745098
"159",1983,"Coho",NA,1632,632,0.387254901960784
"160",1984,"Coho",NA,1632,695,0.425857843137255
"161",1985,"Coho",NA,1632,714,0.4375
"162",1986,"Coho",NA,1632,834,0.511029411764706
"163",1987,"Coho",NA,1632,716,0.438725490196078
"164",1988,"Coho",NA,1632,625,0.38296568627451
"165",1989,"Coho",NA,1632,682,0.417892156862745
"166",1990,"Coho",NA,1632,630,0.386029411764706
"167",1991,"Coho",NA,1632,677,0.414828431372549
"168",1992,"Coho",NA,1632,616,0.377450980392157
"169",1993,"Coho",NA,1632,553,0.338848039215686
"170",1994,"Coho",NA,1632,397,0.243259803921569
