"","POPULATION","CU_NAME","FULL_CU_IN","POP_ID","SPECIES_QUALIFIED","SPECIES","AREA","FAZ","MAZ","QUALITY","weight","nYears","CU_findex","PSE_region"
"CK1207","Holliday Creek (Clearwater) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",1207,"CK","Chinook","29J","UFR","GStr",4,0.731058578630005,21,NA,"Fraser"
"CK125","Driscoll Creek (Prince George) Chinook","UPPER FRASER RIVER_SP_1.3","CK-12",125,"CK","Chinook","29I","UFR","GStr",4,0.731058578630005,1,NA,"Fraser"
"CK1269","Humbug Creek (Prince George) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",1269,"CK","Chinook","29I","UFR","GStr",5,0.119202922022118,3,NA,"Fraser"
"CK131","Clemens Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",131,"CK","Chinook","23","WVI","WVI",4.26315789473684,0.731058578630005,19,NA,"Vancouver Island & Mainland Inlets"
"CK1416","Kuzkwa Creek (Prince George) Chinook Run 1","MIDDLE FRASER RIVER_SU_1.3","CK-11",1416,"CK","Chinook","29I","MFR","GStr",3.5,0.731058578630005,2,NA,"Fraser"
"CK164","Mesachie River (Duncan) Chinook Run 1","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",164,"CK","Chinook","18","EVI","GStr",1,0.982013790037908,1,NA,"Vancouver Island & Mainland Inlets"
"CK1756","Mitchell River (Williams Lake Area) Chinook Run 1","MIDDLE FRASER RIVER_SU_1.3","CK-11",1756,"CK","Chinook","29G","MFR","GStr",3.90909090909091,0.731058578630005,11,NA,"Fraser"
"CK1840","Nicomekl River (Surrey) Chinook Run 1","BOUNDARY BAY_FA_0.3","CK-2",1840,"CK","Chinook","29B","BB","GStr",6,0.119202922022118,2,NA,"Fraser"
"CK2076","Robson River (Clearwater) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",2076,"CK","Chinook","29J","UFR","GStr",6,0.119202922022118,2,NA,"Fraser"
"CK214","Patricia Creek (Duncan) Chinook Run 1","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",214,"CK","Chinook","18","EVI","GStr",6,0.268941421369995,4,NA,"Vancouver Island & Mainland Inlets"
"CK2168","Serpentine River (Surrey) Chinook Run 1","BOUNDARY BAY_FA_0.3","CK-2",2168,"CK","Chinook","29B","BB","GStr",6,0.119202922022118,2,NA,"Fraser"
"CK2178","Seton River (Lillooet) Chinook Run 1","MIDDLE FRASER RIVER_SU_1.3","CK-11",2178,"CK","Chinook","29F","MFR","GStr",4.2,0.119202922022118,29,NA,"Fraser"
"CK2318","Snowshoe Creek (Prince George) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",2318,"CK","Chinook","29I","UFR","GStr",4,0.731058578630005,1,NA,"Fraser"
"CK234","Robertson River (Duncan) Chinook Run 1","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",234,"CK","Chinook","18","EVI","GStr",6,0.268941421369995,3,NA,"Vancouver Island & Mainland Inlets"
"CK244","Shaw Creek Chinook","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",244,"CK","Chinook","18","EVI","GStr",4.25,0.268941421369995,9,NA,"Vancouver Island & Mainland Inlets"
"CK2468","Sus Creek (Prince George) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",2468,"CK","Chinook","29I","UFR","GStr",7,0.119202922022118,1,NA,"Fraser"
"CK2483","Swift River (Quesnel) Chinook Run 1","MIDDLE FRASER RIVER_SP_1.3","CK-10",2483,"CK","Chinook","29H","MFR","GStr",4,0.731058578630005,24,NA,"Fraser"
"CK2507","Taseko River (Williams Lake Area) Chinook Run 1","MIDDLE FRASER RIVER_SU_1.3","CK-11",2507,"CK","Chinook","29G","MFR","GStr",4,0.119202922022118,11,NA,"Fraser"
"CK275","Adams River (Salmon Arm) Chinook Run 2","SOUTH THOMPSON_SU_0.3","CK-13",275,"CK","Chinook","29K","STh","GStr",5.5,0.119202922022118,2,NA,"Fraser"
"CK2762","West Twin Creek (Clearwater) Chinook Run 1","UPPER FRASER RIVER_SP_1.3","CK-12",2762,"CK","Chinook","29J","UFR","GStr",4.38095238095238,0.119202922022118,23,NA,"Fraser"
