WTRSHD_FID,MINES,RDS_DEN_km_km2,FORDST_PCT,WATER_LIC,STRMXDEN,WWD_count,LCA,RIPDSTPCT,IMPERVPCT,MPB_pct,LINEAR_DEV,ECAPCT,Region,WSDArea_KM2,ForestRoadsDEN_km_km2,NonForestRoadsDEN_km_km2,AgriculturePCT,UrbanPCT,Linear_Dev_noRoads
1,3,2.265671468,17.68843289,14,0.194652914,2,23.1580808,8.206450091,4.446052267,0.897289409,2.453199444,12.18327482,Fraser,28.16931499,0.046524838,2.21914663,0,0.330129192,0.187527977
2,3,2.787923966,21.23933277,28,1.041309418,0,26.3504538,22.89891538,4.960846031,0.379195744,2.978349651,18.34271315,Fraser,45.50994014,0.291965529,2.495958437,0,0,0.190425684
3,0,2.28833099,25.14500053,0,0,0,27.86551755,21.16824776,4.239562946,0.75044976,2.28833099,16.12403877,Fraser,60.41196716,0.366758399,1.921572591,0,0,0
4,1,2.120413415,28.61286322,0,0.187957152,0,30.4161346,16.4865589,3.84738055,0.059847752,2.120413415,17.43124015,Fraser,98.9930152,0.407598987,1.712814428,0,0,0
5,0,1.795379613,19.3921801,0,0.827186513,0,21.72978757,18.47782758,3.257675212,0.961599896,1.795379613,12.80547246,Fraser,43.29708558,0.314063773,1.481315839,0,0,0
6,1,2.234138118,35.35600302,55,1.019506985,0,43.32293519,38.11326839,4.668325751,2.778778787,2.234138118,16.71498303,Fraser,60.37267123,0.159394322,2.074743796,6.618366712,0.024285687,0
7,1,2.556391655,42.41910967,13,1.32675341,16,45.86215862,28.38706924,4.910175824,1.008636705,2.556391655,22.41077003,Fraser,52.93747319,0.20890409,2.347487565,0.006262328,0,0
8,0,2.215532016,26.13523876,48,0.395119299,0,31.76028664,27.09260969,4.209323287,2.113313936,2.215532016,20.17694647,Fraser,79.93075886,0.37375373,1.841778286,3.621151197,0.062844708,0
9,0,2.812815873,39.05291902,6,1.120845329,0,42.05027896,21.91824422,5.579603207,0.030625384,2.812815873,21.62496763,Fraser,26.20440054,0.069171678,2.743644194,0,0,0
10,1,1.220802704,5.527448703,0,1.825464074,0,7.107171456,5.467821055,1.861645281,1.361046574,1.220802704,14.25000118,Fraser,34.02397573,0.323237221,0.897565483,0,0,0
11,0,2.247864896,52.97644105,1,1.293068956,0,54.15770943,44.30169421,4.135560329,0.039522313,2.247864896,21.9318502,Fraser,35.39265118,0.190146017,2.057718879,0,0,0
12,0,1.7580617,20.68342727,0,0.305226494,0,57.1168822,54.21709974,3.033626012,30.649099,1.7580617,17.24931577,Fraser,86.65844301,0.309820259,1.448241442,0,0,0
13,0,2.544305513,15.61491533,0,0.91917622,0,30.73100696,20.66135829,4.5879412,6.752350125,2.544305513,21.36810611,Fraser,22.51444838,0.374595336,2.169710177,0,0,0
14,0,1.467723709,20.13408833,0,0.760814448,0,27.47395883,18.66635259,2.743604083,4.75904568,1.467723709,13.31489311,Fraser,82.67797502,0.23186781,1.235855899,0,0,0
15,0,1.72969251,29.86551234,0,0.470577407,0,32.45204661,19.66688693,2.779907035,4.784347048,1.72969251,28.44150364,Fraser,31.56123599,0.675791156,1.053901354,0,0,0
16,0,1.759571598,16.31683039,0,0.256544377,0,18.82138101,11.41433577,2.491235516,3.083537722,1.759571598,8.665086461,Fraser,78.7423749,0.862779532,0.896792065,0,0,0
17,0,1.827430522,33.13711098,0,0.537379701,0,33.87728577,18.58710324,3.029767922,1.215874994,1.827430522,12.43671203,Fraser,26.52872751,0.268161477,1.559269045,0,0,0
18,0,0.963105399,13.5067119,0,0,0,14.43225224,6.288769385,1.836604721,0,0.963105399,11.53659681,Fraser,26.41201791,0,0.963105399,0,0,0
19,0,1.333183067,7.451831764,0,0.770084211,0,8.868070023,8.086552228,1.993487867,1.462431498,1.333183067,5.115910382,Fraser,69.81400145,0.596070536,0.737112531,0,0,0
20,0,0.064363867,0.181588913,0,0.120895158,0,1.026249855,0.534243006,0.119325339,0.367074646,0.064363867,0.398824771,Fraser,53.33304326,0.009827099,0.054536767,0,0,0
21,0,2.412341081,55.09422699,0,0.916322163,0,56.20546337,36.92111238,4.664992347,0.737240757,2.412341081,24.17148834,Fraser,65.83702604,0.101518749,2.310822332,0,0,0
22,0,1.98819288,28.11279503,0,0.712880092,0,34.77305597,28.08404444,3.415693512,8.478784761,1.98819288,16.98260689,Fraser,54.68451422,0.544001831,1.444191049,0,0,0
23,0,2.376725485,30.3966608,8,0.869513354,0,32.47611688,18.09339055,4.257746214,1.124636663,2.376725485,20.88755884,Fraser,69.86964201,0.310725693,2.065999792,0,0,0
24,0,3.124736053,45.96537762,0,0.61472133,0,48.67455571,20.83254252,5.699847772,0.478180964,3.124736053,24.35527695,Fraser,52.35487639,0.211588281,2.913147773,0,0,0
25,0,1.979499773,26.69518107,0,0.155800157,0,35.19195505,16.72398355,3.704519779,8.669915125,1.979499773,12.98713977,Fraser,46.60304073,0.235270788,1.744228985,0,0,0
26,0,2.060813263,29.8571045,0,1.004624564,0,30.84888309,17.85617607,3.595131092,1.995610129,2.060813263,11.93126178,Fraser,26.52817683,0.198340679,1.862472584,0,0,0
27,0,1.706946638,10.81212785,0,0,0,12.6737594,9.500668857,2.765152949,0.067948035,1.706946638,15.66372165,Fraser,31.55073936,0.522284624,1.184662014,0,0,0
28,0,2.093605368,11.16959771,0,0,0,13.20051032,4.053122026,3.111105376,1.135140943,2.149152839,15.06517407,Fraser,60.33399528,0.688861426,1.404743942,0,0,0.055547471
29,0,2.082524198,45.33933178,0,0,0,46.36745236,37.66622662,3.448979898,1.232127817,2.082524198,10.1179593,Fraser,29.16829611,0.161818461,1.920705737,0,0,0
30,0,0.523090677,6.69630114,0,0.177034054,0,7.083083767,4.456395396,0.947518062,0.222184986,0.523090677,4.663650176,Fraser,83.03544359,0.098198829,0.424891848,0,0,0
31,0,1.057322078,6.720518836,0,0.335265291,0,7.915929915,4.267962089,1.729605735,1.221848508,1.057322078,5.004910506,Fraser,44.50500187,0.368587519,0.688734559,0,0,0
32,0,0.145785619,1.445330962,0,0,0,1.620198581,1.380466196,0.280066112,0,0.145785619,1.60968612,Fraser,22.28875176,0.012171609,0.13361401,0,0,0
33,0,1.081570355,23.89582428,0,0.290399816,0,28.05482545,23.71170724,2.044610488,0,1.081570355,19.37699336,Fraser,29.03894441,0.098796718,0.982773636,0,0,0
34,0,0.213829406,3.113328491,0,0.255028007,0,3.728641096,4.504320151,0.422754474,1.022221796,0.213829406,0.942030886,Fraser,53.73741879,0,0.213829406,0,0,0
35,0,0,0.076311369,0,0,0,0.076311374,0.205756297,0,0.185917427,0,0.169641266,Fraser,45.61014453,0,0,0,0,0
36,0,0.314607634,4.81586764,0,0.236007459,0,5.275458858,5.143840984,0.628552222,0,0.314607634,3.093776833,Fraser,32.09548212,0,0.314607634,0,0,0
37,0,0.211357372,2.596025424,0,0,0,2.888708226,2.054022709,0.430896161,0,0.211357372,2.277013188,Fraser,67.20675079,0.002532539,0.208824833,0,0,0
38,0,0.163781177,0.722518135,0,0.226731434,13,1.034903869,0.217132,0.340019188,0,0.163781177,1.690420817,Fraser,46.30947723,0,0.163781177,0,0.069167651,0
39,0,0.346084347,5.495479193,0,0.339891359,0,8.374660181,6.248544301,0.637931891,0,0.346084347,4.096926979,Fraser,34.5482232,0.091957461,0.254126887,0,0,0
40,0,0.186287564,3.914495251,0,1.948578354,0,4.502467236,2.647299918,0.396804053,0,0.186287564,1.699004738,Fraser,50.58748692,0.002537664,0.1837499,0,0,0
41,0,0.322442756,3.763698628,0,0,0,4.014882155,3.256655933,0.658165291,0,0.322442756,2.368379769,Fraser,43.51570007,0,0.322442756,0,0,0
42,0,0.089384156,1.716479158,0,0,0,1.761593369,0.893367968,0.181248361,0,0.089384156,1.232774815,Fraser,37.84490477,0.012906899,0.076477257,0,0,0
43,0,1.618182351,8.946681601,7,0,0,11.22836531,9.224307012,2.91416702,1.974028038,1.618182351,6.396243431,Fraser,102.4492278,0.35752851,1.260653841,0,0,0
44,1,0.007370739,0.001731226,50,0,0,0.030854184,0,0.019997997,0.003108196,0.007370739,0.020401632,Fraser,132.3292416,0,0.007370739,0.006552612,0,0
45,0,2.51407985,30.09269537,41,6.729412839,2,32.87821219,31.68390488,4.894609044,0.528342693,2.51407985,13.66538096,Fraser,54.19414518,0.159856566,2.354223284,0.04926953,0,0
46,1,3.334089259,37.30810826,4,3.854127705,0,40.6487779,26.13624253,6.481417,0.019491572,3.334089259,17.86221882,Fraser,62.95535048,0.199747108,3.134342151,0.049035707,0,0
47,0,2.625811229,37.68098734,0,0,0,39.98253616,28.78795843,4.950826842,3.20986291,2.625811229,22.60888161,Fraser,83.51724496,0.298294489,2.32751674,0,0,0
