Source,POP_ID,FirstYear,FirstYear_nuseds,nYear,nYearN
Brown2020,125,NA,2002,0,1
Brown2020,131,1995,2002,24,17
Brown2020,164,NA,1986,0,1
Brown2020,214,NA,1990,0,4
Brown2020,234,NA,1990,0,3
Brown2020,244,NA,1991,0,9
Brown2020,290,NA,2000,0,1
Brown2020,586,1980,1996,38,2
Brown2020,696,1986,1985,33,35
Brown2020,812,1999,1996,19,21
Brown2020,926,NA,1975,0,38
Brown2020,1207,1998,1995,21,23
Brown2020,1269,NA,1996,0,3
Brown2020,1756,NA,2009,0,9
Brown2020,1840,NA,1996,0,2
Brown2020,2076,NA,1996,0,2
Brown2020,2168,NA,1996,0,2
Brown2020,2178,NA,1975,0,29
Brown2020,2468,NA,1996,0,1
Brown2020,2483,1998,1998,21,22
Brown2020,2507,NA,1996,0,11
Brown2020,2762,NA,1996,0,22
Brown2020,3075,1998,1998,21,17
Brown2020,3306,1995,1953,24,65
Brown2020,3333,NA,1979,0,24
Brown2020,39548,NA,1996,0,1
Brown2020,39588,NA,1997,0,1
Brown2020,39608,NA,1985,0,18
Brown2020,39628,NA,1956,0,10
Brown2020,39648,NA,1953,0,15
Brown2020,39668,NA,1954,0,35
Brown2020,39678,NA,1953,0,25
Brown2020,39698,NA,1953,0,14
Brown2020,39708,NA,1958,0,9
Brown2020,39738,NA,1953,0,28
Brown2020,39748,NA,1953,0,28
Brown2020,39778,NA,1980,0,2
Brown2020,39848,NA,1998,0,3
Brown2020,39958,1996,1954,20,66
Brown2020,39984,1983,1954,33,54
Brown2020,40023,1988,1953,31,37
Brown2020,40033,NA,1953,0,41
Brown2020,40053,2000,1962,18,53
Brown2020,40133,NA,1997,0,1
Brown2020,40153,1995,1954,24,56
Brown2020,40163,NA,1974,0,17
Brown2020,40173,NA,1985,0,5
Brown2020,40183,NA,1985,0,4
Brown2020,40253,1995,1953,24,65
Brown2020,40283,NA,1990,0,12
Brown2020,40293,NA,1980,0,18
Brown2020,40313,NA,1998,0,7
Brown2020,40323,NA,1953,0,53
Brown2020,40363,1995,1953,24,66
Brown2020,40373,NA,1998,0,1
Brown2020,40398,NA,1965,0,7
Brown2020,40418,NA,1975,0,10
Brown2020,40438,NA,1997,0,3
Brown2020,40458,1995,1953,24,66
Brown2020,40478,NA,1982,0,4
Brown2020,40488,NA,1995,0,1
Brown2020,40518,NA,1956,0,23
Brown2020,40548,NA,1984,0,5
Brown2020,40583,NA,2001,0,1
Brown2020,40593,NA,1964,0,17
Brown2020,40608,NA,1964,0,6
Brown2020,40618,1995,1953,24,66
Brown2020,40638,NA,1994,0,2
Brown2020,40648,NA,1953,0,31
Brown2020,40698,NA,1958,0,13
Brown2020,40708,NA,1953,0,27
Brown2020,40778,NA,1995,0,1
Brown2020,40798,1995,1953,24,55
Brown2020,40808,1995,1988,24,19
Brown2020,40818,NA,1996,0,7
Brown2020,40868,NA,1953,0,44
Brown2020,40878,NA,1953,0,22
Brown2020,40888,NA,1966,0,17
Brown2020,41123,1995,1953,24,55
Brown2020,41133,NA,1964,0,3
Brown2020,41168,NA,1958,0,31
Brown2020,41178,1995,1953,24,62
Brown2020,41198,NA,1953,0,26
Brown2020,41208,NA,1953,0,37
Brown2020,41288,NA,1953,0,37
Brown2020,41328,1995,1953,24,66
Brown2020,41348,1987,1953,30,55
Brown2020,41364,NA,1956,0,6
Brown2020,41373,NA,1970,0,7
Brown2020,41393,NA,1961,0,31
Brown2020,41423,NA,1953,0,53
Brown2020,41438,1995,1953,24,67
Brown2020,41448,NA,1953,0,46
Brown2020,41458,NA,1958,0,53
Brown2020,41468,NA,1958,0,27
Brown2020,41478,NA,1963,0,14
Brown2020,41488,NA,1953,0,42
Brown2020,41498,1995,1953,24,66
Brown2020,41518,1995,1953,24,66
Brown2020,41548,NA,1999,0,5
Brown2020,41593,NA,1975,0,3
Brown2020,41603,NA,1995,0,1
Brown2020,41683,NA,1953,0,42
Brown2020,41713,1995,1953,24,64
Brown2020,41743,NA,1962,0,32
Brown2020,41753,NA,1966,0,12
Brown2020,41763,NA,1953,0,20
Brown2020,41773,NA,1969,0,8
Brown2020,41793,NA,1975,0,3
Brown2020,41813,NA,1976,0,3
Brown2020,41823,NA,2001,0,2
Brown2020,41833,NA,1958,0,17
Brown2020,41843,NA,1954,0,15
Brown2020,41863,1995,1953,24,63
Brown2020,41873,1995,1953,24,64
Brown2020,41883,1995,1953,24,67
Brown2020,42113,NA,1991,0,1
Brown2020,42173,NA,1955,0,15
Brown2020,42343,NA,1992,0,1
Brown2020,44497,1996,1971,22,20
Brown2020,44536,NA,1996,0,8
Brown2020,44549,1995,1951,22,69
Brown2020,44742,NA,1996,0,3
Brown2020,44752,1998,1986,21,21
Brown2020,44762,1998,1999,21,21
Brown2020,44792,NA,1997,0,9
Brown2020,44802,NA,1998,0,3
Brown2020,44961,1998,1998,21,16
Brown2020,45051,NA,1998,0,16
Brown2020,45190,1995,1995,24,10
Brown2020,45325,1998,1995,21,24
Brown2020,45510,1998,1959,21,58
Brown2020,45520,NA,1999,0,2
Brown2020,45535,NA,1951,0,51
Brown2020,45547,1999,1967,20,32
Brown2020,45555,1999,1953,20,54
Brown2020,45567,NA,1953,0,37
Brown2020,45722,NA,1996,0,5
Brown2020,45991,1998,1960,21,57
Brown2020,46001,1999,1951,20,66
Brown2020,46011,1998,1953,21,62
Brown2020,46021,1996,1951,22,57
Brown2020,46034,1984,1951,35,69
Brown2020,46042,NA,1951,0,52
Brown2020,46068,NA,1954,0,11
Brown2020,46076,2005,1951,14,51
Brown2020,46082,NA,1958,0,10
Brown2020,46097,NA,1952,0,29
Brown2020,46101,1977,1951,41,69
Brown2020,46111,NA,1985,0,5
Brown2020,46165,1997,1951,22,38
Brown2020,46176,1995,1951,24,68
Brown2020,46186,1995,1951,24,67
Brown2020,46196,1995,1951,24,68
Brown2020,46206,1995,1951,24,65
Brown2020,46216,1995,1951,24,68
Brown2020,46226,1997,1951,22,68
Brown2020,46236,1997,1951,22,68
Brown2020,46246,1997,1951,22,69
Brown2020,46256,1999,1964,14,23
Brown2020,46296,NA,1967,0,15
Brown2020,46336,2003,1954,16,31
Brown2020,46366,2003,1951,16,68
Brown2020,46407,1999,1951,20,68
Brown2020,46437,1983,1951,36,69
Brown2020,46447,1983,1951,36,68
Brown2020,46527,NA,1996,0,17
Brown2020,46548,1999,1962,20,52
Brown2020,46568,1995,1995,23,24
Brown2020,46578,NA,1996,0,23
Brown2020,46588,1986,1951,25,57
Brown2020,46598,1995,1951,24,68
Brown2020,46608,1998,1951,21,60
Brown2020,46648,1998,1951,21,50
Brown2020,46678,NA,1955,0,22
Brown2020,46688,1997,1951,22,66
Brown2020,46708,1997,1970,22,50
Brown2020,46718,1998,1951,21,69
Brown2020,46780,NA,1969,0,31
Brown2020,46790,1999,1951,20,69
Brown2020,46801,1999,1979,20,36
Brown2020,46841,1995,1951,24,49
Brown2020,46842,1998,1975,21,44
Brown2020,46851,1999,1951,20,69
Brown2020,46871,NA,1967,0,38
Brown2020,46881,1999,1951,20,69
Brown2020,46891,1999,1981,20,39
Brown2020,46892,NA,1986,0,20
Brown2020,46901,1998,1951,21,69
Brown2020,46931,1998,1961,21,57
Brown2020,46941,1998,1962,21,51
Brown2020,46951,1998,1962,21,50
Brown2020,46961,1998,1970,21,50
Brown2020,46985,1986,1951,32,39
Brown2020,47096,1996,1951,22,63
