POP_ID,WTRSHD_FID,psfstreamID,MatchType,WSD_ID_50K,StreamOrder
41236,1988,,1,0,4
41232,1988,,1,0,4
125,10763,8087,4,12555,4
127,18765,8418,4,20660,5
128,4643,8377,4,27793,7
129,118,7832,5,35601,4
130,118,7023,4,35601,4
131,118,5745,4,35601,4
132,1,8437,4,25762,6
133,14408,8450,4,24798,7
136,5369,5895,4,33887,4
138,5369,6678,4,33887,4
146,2568,5887,4,,4
148,2568,6581,4,,4
156,2567,6029,4,37029,6
158,2567,6589,4,37029,6
168,2582,,6,,5
176,5369,5946,4,33827,4
178,5369,6707,4,33827,4
186,2567,5953,4,,6
188,2567,6615,4,,6
198,2615,6616,4,35630,4
206,2591,5955,4,,6
208,2591,6618,4,,6
214,2582,5599,4,,5
216,2582,5959,4,,5
218,2582,6621,4,,5
226,2576,5969,4,,3
228,2576,6628,4,,3
234,2582,5600,4,36943,5
236,2582,5971,4,36943,5
238,2582,6629,4,36943,5
244,2588,5601,4,36143,5
246,2588,5981,4,36143,5
248,2588,6635,4,36143,5
256,2426,5988,4,,3
258,2426,6720,4,,3
264,2584,6641,4,36876,4
269,13904,,6,37209,3
275,14448,8036,4,21825,8
290,18780,8012,4,18695,6
294,8097,,5,34630,5
431,19238,8830,4,29757,6
487,1921,8118,4,35822,6
564,8166,8256,4,,10
586,8174,,6,36022,4
590,8174,8933,4,36022,4
696,1921,,6,35495,6
806,14431,8430,4,25405,6
810,14431,8774,4,25405,6
811,14431,8837,4,25405,6
812,19248,8033,4,30208,4
926,10848,8088,4,14100,5
1080,1907,8283,4,35495,6
1170,9233,8401,4,24380,5
1207,17945,8053,4,16251,4
1251,1907,8152,4,,6
1269,10781,8056,4,12847,5
1756,13457,7997,4,,6
1794,8177,8934,4,35892,4
1840,8175,,5,35623,4
1844,8175,8935,4,35623,4
1925,1907,8319,4,35495,6
2076,17984,8067,4,16262,5
2168,8179,,5,35351,4
2172,8179,8936,1,35351,4
2178,14163,8007,4,27514,9
2318,10809,8072,4,14018,5
2422,4069,8204,4,,6
2436,8088,8342,4,,3
2457,15364,8917,4,,7
2468,1187,8074,4,,5
2483,2473,7980,4,16912,6
2487,2473,,5,16912,6
2507,15731,8011,4,23360,7
2515,15731,8924,4,23360,7
2622,19227,8462,4,26115,4
2762,10896,8080,4,15222,8
3021,19746,2581,4,8655,4
3041,6252,3196,4,,4
3042,11107,2278,4,6278,5
3045,4599,9332,4,11494,2
3046,4568,9040,4,,3
3048,4568,9377,4,,3
3049,4568,9041,4,,3
3056,7321,2520,4,12539,3
3056,7321,2617,4,12539,3
3063,13391,4210,4,12574,4
3064,6046,3980,4,,3
3065,6046,4762,4,,3
3065,6046,5141,4,,3
3069,28,8436,4,24148,4
3070,1249,6833,4,29828,6
3071,4,8446,4,25495,4
3072,18780,8395,4,,6
3073,18787,8390,4,19031,4
3074,14408,8453,4,,7
3075,4786,8057,4,,5
3076,5370,6697,4,,3
3078,13468,8698,4,,5
3079,13473,8712,4,19431,5
3081,13506,8747,4,,7
3082,13452,8750,4,20035,4
3083,13508,8752,4,,7
3084,13511,8754,4,,7
3086,13503,8755,4,,7
3087,13507,8758,4,,7
3088,13450,8766,4,,4
3089,15723,8903,4,,7
3090,14435,8849,4,,7
3091,4721,8616,4,,7
3117,849,4763,4,,7
3117,849,4909,4,,7
3118,849,4163,4,,7
3119,849,3812,4,,7
3120,809,4164,4,,5
3121,809,4910,4,,5
3122,809,3813,4,,5
3124,849,4165,4,,7
3125,849,3814,4,,7
3126,849,4911,4,,7
3127,849,4166,4,,7
3128,849,3815,4,,7
3129,12186,3720,4,,4
3131,806,4764,4,21532,5
3131,806,4912,4,21532,5
3132,806,3790,4,21532,5
3133,809,4765,4,21548,5
3133,809,4913,4,21548,5
3134,809,4167,4,21548,5
3135,809,3791,4,21548,5
3136,849,4168,4,21544,7
3137,809,4766,4,,5
3137,809,4914,4,,5
3138,809,3816,4,,5
3139,809,4169,4,,5
3140,812,4170,4,21452,4
3141,812,3792,4,21452,4
3142,849,4767,4,,7
3142,849,4915,4,,7
3143,849,3817,4,,7
3144,849,4171,4,,7
3145,817,3793,4,21350,5
3146,845,4172,4,,6
3147,811,4173,4,,4
3148,813,4174,4,,5
3149,849,4175,4,,7
3150,849,4176,4,,7
3151,849,4177,4,,7
3161,813,4178,4,20123,5
3162,813,4768,4,20123,5
3162,813,4916,4,20123,5
3163,813,3794,4,20123,5
3164,849,4179,4,,7
3166,12135,5256,5,20016,5
3167,812,4917,4,21452,4
3168,817,4918,5,21350,5
3172,807,4180,4,,7
3173,807,4769,4,21526,7
3173,807,4919,4,21526,7
3174,807,3795,4,21526,7
3175,118,6463,4,35601,4
3177,833,4181,4,21518,6
3178,807,4182,4,21526,7
3179,817,4183,4,21350,5
3186,19728,5515,4,9267,5
3192,9912,1964,4,10396,4
3193,9912,2054,4,10396,4
3198,5667,4583,6,15882,4
3199,5667,4212,6,15882,4
3203,6260,2162,4,,6
3204,6260,2223,4,7479,6
3210,1938,7665,4,35262,4
3216,13861,6562,4,31981,2
3217,14454,8464,4,,8
3218,15308,8915,4,10402,6
3219,1174,8596,4,16510,4
3220,1173,8598,4,,4
3225,19454,3419,4,5448,5
3228,9653,4584,4,,4
3229,9653,4585,4,,4
3229,9653,4960,4,,4
3231,6260,2123,4,7479,6
3232,9653,3821,4,,4
3233,9653,3822,4,,4
3237,319,,5,8224,6
3238,367,,5,9855,6
3239,9889,1986,4,10919,4
3240,319,2182,4,8224,6
3241,367,2213,4,9855,6
3242,9889,1860,4,10919,4
3242,9889,2467,4,10919,4
3243,319,2089,4,8224,6
3243,319,2303,4,8224,6
3244,367,2112,4,9855,6
3244,367,2326,4,9855,6
3245,9889,1933,4,10919,4
3246,9889,1912,4,10919,4
3247,319,2249,4,8224,6
3248,367,2257,4,9855,6
3249,7327,5257,5,15942,4
3250,7302,5258,1,13094,4
3251,7321,4215,5,12539,3
3252,6046,4429,4,,3
3253,6252,2156,4,,4
3257,11107,3239,4,6278,5
3258,11107,3429,4,6278,5
3259,11107,2332,4,6278,5
3262,13506,8717,4,,7
3264,7315,5259,4,14287,4
3268,6046,5260,4,,3
3283,7187,5490,4,7486,5
3296,7307,4216,4,15505,4
3297,7307,4961,5,15505,4
3298,7307,3823,5,15505,4
3301,6260,2137,4,,6
3303,82,7109,1,35046,6
3304,82,7402,1,35046,6
3304,82,7596,1,35046,6
3305,82,6346,1,35046,6
3306,82,5780,1,35046,6
3310,107,7851,4,34842,6
3311,84,7063,4,35020,4
3312,84,6389,4,35020,4
3313,82,7077,4,35244,6
3314,83,7101,4,,3
3325,91,7712,4,35129,5
3329,13861,7135,4,31981,2
3330,13861,5916,4,31981,2
3333,2623,5626,4,35755,6
3335,4404,7045,1,32605,6
3339,16097,,6,6,5
3341,-1,,6,,
3356,13499,8737,4,,8
3357,13509,8745,4,,7
3359,13509,8748,4,,7
3363,13507,8671,4,,7
3366,13507,8686,4,,7
3372,13507,8716,4,,7
3375,13499,8721,4,,8
3414,5022,8757,4,21437,4
3418,12167,3722,4,23110,4
3421,11818,3724,4,21319,3
3422,11826,4587,4,,4
3422,11826,4963,4,,4
3423,11826,3725,4,,4
3424,11826,4588,4,21396,4
3424,11826,4964,4,21396,4
3425,11826,3726,4,21396,4
3426,11826,4589,4,,4
3426,11826,4965,4,,4
3427,11826,3727,4,,4
3428,1286,2235,4,8095,5
3429,1283,2160,4,8115,5
3430,7242,2486,2,,4
3430,7242,5445,2,,4
3431,16842,5142,6,14415,3
3432,6453,5143,4,12463,3
3433,16842,3981,6,14415,3
3437,14415,8773,4,25444,4
3440,19214,8836,4,26418,4
3442,2212,8636,4,22459,8
3444,5189,,6,1743,6
3445,18781,8394,4,18995,5
3449,12180,4770,4,22132,4
3449,12180,5144,4,22132,4
3450,12180,3729,4,22132,4
3451,12180,4771,4,22288,4
3451,12180,5146,4,22288,4
3452,12180,3730,4,22288,4
3453,12180,4772,4,22039,4
3453,12180,5145,4,22039,4
3454,12180,3731,4,22039,4
7004,19509,3422,4,4966,4
7005,8847,1776,4,,5
7006,19506,3427,4,5085,5
7007,19503,3418,4,5255,5
7472,4730,8362,4,,10
7473,4730,8112,4,,10
7475,14408,8442,4,,7
7476,14411,8465,4,25717,4
7477,14445,8043,4,26138,4
7478,14441,8038,4,26346,3
7479,1,8039,4,25762,6
7480,4,8041,4,25495,4
7549,817,,5,21350,5
7552,813,,5,20123,5
7630,15760,8925,4,25440,5
7631,15760,8926,4,25440,5
7632,14379,8771,4,,3
7633,14452,8789,4,,8
7635,19238,8830,4,29757,6
7636,14455,8776,4,25375,8
7638,14435,8808,4,25928,7
7641,19286,8844,4,26433,7
7643,19198,8831,4,26879,3
7688,14042,8590,4,29382,5
7690,8110,8662,4,33390,5
7691,8112,8664,4,33849,5
7692,8112,8668,4,33849,5
7693,8124,8669,4,,6
7695,8127,8663,4,33878,6
7696,8126,8667,4,,6
7726,1919,8605,4,35955,4
7727,14055,8587,4,27514,6
7743,8625,8653,4,29004,6
7744,15791,8921,4,25278,7
7762,14041,8592,4,29659,6
39530,122,7868,4,,5
39532,122,7067,4,,5
39536,122,6397,4,,5
39538,122,5804,4,,5
39540,124,7692,4,36149,4
39542,124,7073,4,36149,4
39546,124,6405,4,36149,4
39548,124,5807,4,36149,4
39552,137,7066,4,,3
39556,137,6396,4,,3
39560,137,7907,4,,3
39562,137,7119,4,,3
39564,137,7606,4,,3
39566,137,6480,4,,3
39570,137,7908,4,36319,3
39572,137,7120,4,36319,3
39576,137,6481,4,36319,3
39578,137,5790,4,36319,3
39580,137,7858,4,,3
39582,137,7055,4,,3
39584,137,7636,4,,3
39586,137,6377,4,,3
39588,137,5797,4,,3
39592,137,7051,4,,3
39596,137,6369,4,,3
39600,137,7877,4,,3
39602,137,7080,4,,3
39606,137,6415,4,,3
39608,137,5809,4,,3
39610,15656,7678,4,,4
39612,15656,7057,4,,4
39614,15656,7370,4,,4
39616,15656,6379,4,,4
39618,15656,5836,4,,4
39620,15656,7828,4,31818,4
39622,15656,7019,4,31818,4
39624,15656,7346,4,31818,4
39626,15656,6456,4,31818,4
39628,15656,5821,4,31818,4
39632,15656,7012,4,,4
39636,15656,6301,4,,4
39646,15656,,6,,4
39650,15648,7831,4,31840,4
39652,15648,7022,4,31840,4
39654,15648,7349,4,31840,4
39654,15648,7624,4,31840,4
39656,15648,6460,4,31840,4
39658,15648,5823,4,31840,4
39660,15649,7873,4,31489,4
39662,15649,7074,4,31489,4
39664,15649,7381,4,31489,4
39664,15649,7644,4,31489,4
39666,15649,6406,4,31489,4
